INCIDENT_NUMBER,INCIDENT_TEXT,LATITUDE,LONGITUDE
G983421067582,"Assessing damage, unable to reach location, transformer issue, pole down, line down, can't access, bad transformer, phase up, limb down blocking road.",45.643722348,-73.56960415
G983421067589,"tps 42111, assessing damage, unable to reach location, transformer, line down, pole down, can't access, found bad transformer, span pole down blocking road, Asset not found in GIS -INCIDENT AUTO-GENERATED FROM ADMS, ADMS INCIDENT NUMBER WILL MATCH  IN OUTAGE ASSIST.",45.64380914,-73.902666115
G983421067589,"pri1 down, assessing damage, unable to reach location, bad transformer, pole down blocking road",45.644037767,-73.510630259
G983421067589,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.411044985,-73.771914537
G983421067589,"2300 - INCIDENT AUTO-GENERATED FROM FIELD REPORT, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, CAN'T ACCESS, ASSET NOT FOUND IN GIS.",45.411305478,-73.550052521
G983421067591,"Transformer down, unable to reach location, assessing damage, found bad transformer, line down, pole down, pri1, can't access, asset not found in GIS, need crew to replace 1 45' pole, 1 span of 3/0 primary and repair/replace 1 3/0 service",45.411733305,-73.768707547
G983421067592,"open plf due to tree down on pri1, assessing damage, unable to reach location, bad transformer on oakwood st./nw",45.417307113,-73.921682765
G983421067592,"pri1, assessing damage, pole down, unable to reach location, bad transformer",45.419438675,-73.655074262
G983421067592,"Repl. 50c tx, unable to reach location, assessing damage, found bad transformer, pole down, phase up, can't access, span pole down blocking road.",45.41975628,-73.872414361
G983421067592,"Assessing damage, unable to reach location, transformer issue, pole down, line down, can't access, bad transformer, phase up, limb down blocking road.",45.426091417,-73.48989696
G983421067592,"Assessing damage, unable to reach location, transformer issue, pole down, line down, can't access, phase up, limb down blocking road.",45.428526149,-73.489746979
G983421067592,"TRI FRAMING, 2 spans of 3-477 4/0 down, limb down on pri1, unable to reach location, assessing damage, found bad transformer, can't access, Asset not found in GIS, phase up, line down blocking road.",45.428913705,-73.649758754
G983421067592,"Line down, assessing damage, unable to reach location, pole down, bad transformer, can't access, need crew to locate issue and replace pri1.",45.43114142,-73.895063491
G983421067592,"pri1 line down, pole down blocking road, assessing damage, unable to reach location, bad transformer",45.434088516,-73.815299761
G983421067592,"Transformer issue at w 15th st and n 30th ave, assessing damage, unable to reach location, pole down, can't access, bad transformer, line down, span pole down blocking road.",45.438728496,-73.644724857
G983421067592,"2154 - INCIDENT AUTO-GENERATED FROM FIELD REPORT, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, SPAN POLE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE, ASSET NOT FOUND IN GIS.",45.441348965,-73.593366636
G983421067592,"-INCIDENT AUTO-GENERATED FROM STORM RESPONSE MAP ALERT, ASSET NOT FOUND IN GIS, UNABLE TO REACH LOCATION, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, SPAN POLE DOWN BLOCKING ROAD, PHASE UP, TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE.",45.445157871,-73.770104293
G983421067592,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO ACCESS AREA.",45.445962629,-73.652968624
G983421067592,"Line down, unable to reach location, assessing damage, found bad transformer, pole down blocking road, can't access, no bucket truck available.",45.446345334,-73.743696308
G983421067592,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED, CAN'T ACCESS FOR REPAIRS, ENTRY PROBLEM DUE TO NO BUCKET TRUCK AVAILABLE, LINE ISSUES CAUSED BY TRANSFORMER FAILURE, POWER DISRUPTION ISSUES BEING ADDRESSED.",45.448276033,-73.764074272
G983421067593,"854-219-2023 - JENNY WILSON / Unable to Reach Location, assessing damage, found bad transformer, line down, pole down, can't access, Asset not found in GIS, limb down blocking road, need crew to assess and repair.",45.453267702,-73.710363123
G983421067809,"FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION, ASSESSING DAMAGE, BAD TRANSFORMER, SPAN POLE DOWN BLOCKING ROAD, CAN'T ACCESS, PHASE UP",45.459929956,-73.792787273
G983421067812,"A tree down on pri1 line, assessing damage, unable to reach location due to pole down blocking road, found bad transformer.",45.460424256,-73.681136389
G983421067812,"LINE DOWN AT 1234567890.  ASSESSING DAMAGE, CAN'T ACCESS, POLE DOWN, PHASE UP, BAD TRANSFORMER.",45.461755455,-73.691777523
G983421067812,"Line down, unable to reach location, assessing damage, transformer issue, pole down blocking road.",45.462418014,-73.888834477
G983421067812,"OPEN PLF/n Unable to Reach Location, assessing damage, found bad transformer, line down, pole down blocking road, can't access, Asset not found in GIS.",45.462977453,-73.86730135
G983421067812,"LINE ISSUE - ASSESSING DAMAGE, FOUND BAD TRANSFORMER, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, DISPATCHING CREW TO LOCATE ISSUE AND REMOVE TREE DEBRIS.",45.463478914,-73.743443985
G983421067812,"LINE DOWN, POLE DOWN, UNABLE TO REACH LOCATION, ASSESSING DAMAGE, NO BUCKET TRUCK NEEDED TO ACCESS AND INSPECT PRI1, LOCATE ISSUE AND REPLACE BAD TRANSFORMER",45.464594477,-73.847539563
G983421067812,"Transformer issue on pri1, unable to reach location, assessing damage, found bad transformer, line down, pole down blocking road.",45.466434451,-73.492737147
G983421067812,"plf open station 12-34 tree down on pri1, line down, unable to reach location, assessing damage, bad transformer",45.469460134,-73.646439617
G983421067812,"Line crew assessing damage, found bad transformer, unable to reach location due to pole down blocking road, phase up, and a limb down nearby.",45.469595299,-73.64643191
G983421067812,"Assessing damage, found bad transformer, unable to reach location due to pole down, span pole down blocking road, can't access, line down, phase up.",45.472071616,-73.536825492
G983421067812,"Line Issues: Transformer blown, Power Disruption: assessing damage, found bad transformer, Power Line Issues: pole down, span pole down blocking road, pri1.",45.473205334,-73.807776566
G983421067812,"LINE DOWN ON SPAN POLE 21-14, ASSESSING DAMAGE, CAN'T ACCESS, FOUND BAD TRANSFORMER, NEEDS REPLACEMENT",45.474226849,-73.865859916
G983421067812,"SD CREATED 

OUT ON 4 

TPSW 18625   -INCIDENT AUTO-GENERATED FROM ADMS, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, CAN'T ACCESS, ASSET NOT FOUND IN GIS.",45.474746838,-73.533453198
G983421067812,"3782 - INCIDENT AUTO-GENERATED FROM FIELD REPORT, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, SPAN POLE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE, ASSET NOT FOUND IN GIS.",45.479007462,-73.774084856
G983421067812,"Found a tree down on pri1 line, blocking road, and a limb down on a span pole, can't access location to assess damage, unable to reach location, need to locate issue, bad transformer suspected, no bucket truck available to investigate further.",45.481944148,-73.539807603
G983421067812,"3045 - INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE, ASSET NOT FOUND IN GIS.",45.486167428,-73.912555274
G983421067812,"i opened ticket...pole down, assessing damage, can't access, bad transformer",45.48890747,-73.805564842
G983421067812,"Opened C phase PLF at grid 3611041524. Unable to reach location due to tree down, limb down blocking road, assessing damage to pri1, found bad transformer, can't access, span pole down, phase up, Asset not found in GIS.",45.491125414,-73.848309257
G983421067812,"Opened PLF at grid 9876543210. Unable to Reach Location, assessing damage, found bad transformer on pri1 line down, pole down blocking road, need to locate issue and replace. No bucket truck available, can't access, Asset not found in GIS, need to update Storm Response Map.",45.492202354,-73.539301131
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO ACCESS AREA, ENTRY PROBLEM CAUSED BY LIMB DOWN, PRI1 ALERT ISSUED FOR STORM RESPONSE.",45.492254876,-73.897316507
G983421067812,"Transformer issue, unable to reach location, assessing damage, found bad transformer, line down, pole down, pri1, phase up, can't access, asset not found in GIS.",45.49537045,-73.675916502
G983421067812,"Transformer down, unable to reach location, assessing damage, pole down blocking road, can't access.",45.499106594,-73.678007812
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.503062736,-73.852718371
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED, CAN'T ACCESS FOR FURTHER INVESTIGATION.",45.504877261,-73.499130895
G983421067812,"open sw 34473 assessing damage, unable to reach location, transformer, line down, pole down",45.5071179,-73.886225519
G983421067812,"E&W Main. Phase up, assessing damage, pole down, unable to reach location, bad transformer.",45.508588961,-73.543857641
G983421067812,"Assessing damage, unable to reach location, pole down, can't access, bad transformer, line down, phase up.",45.508944021,-73.810506047
G983421067812,"LINE DOWN, PHASE UP, CAN'T ACCESS, ASSESSING DAMAGE, TREE DOWN BLOCKING ROAD, NO BUCKET TRUCK AVAILABLE TO REACH LOCATION.",45.510989492,-73.64674093
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.512480076,-73.500021771
G983421067812,"[152196] ocr 152196  -INCIDENT AUTO-GENERATED FROM ADMS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, TREE LIMB DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION, SPAN POLE DOWN BLOCKING ROAD, PHASE UP, CAN'T ACCESS, ASSET NOT FOUND IN GIS.",45.515048892,-73.686524886
G983421067812,"pole down, assessing damage, unable to reach location, bad transformer",45.519126813,-73.591332644
G983421067812,"Transformer issue, unable to access, assessing damage, pole down, line down, can't locate issue, phase up, bad transformer.",45.519197643,-73.77746999
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.520758315,-73.752773484
G983421067812,"open PLF down pri1 1 span to the west, unable to reach location, assessing damage, found bad transformer, line down blocking road, no bucket truck available, will need to locate issue and replace transformer.",45.521100384,-73.72410977
G983421067812,"Transformer issue at 123 Main St, unable to reach location, assessing damage, found bad transformer, line down, pole down blocking road, can't access, asset not found in GIS.",45.524376903,-73.731069981
G983421067812,"LINE DOWN - INCIDENT AUTO-GENERATED FROM ADMS, ASSESSING DAMAGE, CAN'T ACCESS, SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER, LOCATE ISSUE, TREE DOWN, NO BUCKET TRUCK AVAILABLE.",45.524507307,-73.871463615
G983421067812,"Assessing damage, unable to reach location due to a pole down blocking the road, found a bad transformer, and a span pole down, can't access, will need to locate issue and check if asset is found in GIS.",45.528295986,-73.664569342
G983421067812,"opened 200amp switches and tagged to dso on duty, assessing damage, found bad transformer, unable to reach location, pole down, blocking road at n 30th st. and w oakdale dr.",45.528767232,-73.742658799
G983421067812,"ASSIGNED TO CREW 7, ASSESSING DAMAGE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION, SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER",45.536399354,-73.804244395
G983421067812,"a phase up, assessing damage, unable to reach location, pole down blocking road, bad transformer",45.536574526,-73.51847794
G983421067812,"-INCIDENT AUTO-GENERATED FROM STORM RESPONSE MAP ALERT, ASSET NOT FOUND IN GIS, UNABLE TO REACH LOCATION, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, SPAN POLE DOWN BLOCKING ROAD, PHASE UP, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.536920961,-73.714976204
G983421067812,"Transformer issue at 5th and main, unable to reach location, assessing damage, found bad transformer, pole down, line down, blocking road, can't access, asset not found in GIS.",45.538528283,-73.577015521
G983421067812,"tps 64860 -INCIDENT AUTO-GENERATED FROM ADMS, Crews are assessing damage, unable to reach location due to a tree down, limb down blocking road, and a pole down, line down, pri1, span pole down, bad transformer found, can't access, locate issue, Asset not found in GIS.",45.543051444,-73.574244628
G983421067812,"FOUND TREE DOWN BLOCKING ACCESS, ASSESSING DAMAGE, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD",45.543955546,-73.680336276
G983421067812,"ASSIGNED TO CREW 7 TO ASSESS DAMAGE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION, SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER",45.544073644,-73.58585251
G983421067812,"Line down, pole down, assessing damage, unable to reach location, bad transformer, tree down blocking road, can't access",45.545414749,-73.491757693
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO ACCESS AREA, ENTRY PROBLEM CAUSED BY LIMB DOWN, PRI1 ALERT ISSUED FOR STORM RESPONSE.",45.548008113,-73.802320305
G983421067812,"Assessing damage, unable to reach location, transformer issue, pole down blocking road, phase up, can't access, limb down.",45.548598999,-73.702588746
G983421067812,"Assessing damage, unable to reach location, found bad transformer, pole down, line down, span pole down blocking road, can't access, tree down, limb down, no bucket truck available.",45.549156632,-73.561845138
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.553658105,-73.655885435
G983421067812,"assessing damage, can't access, pole down, unable to reach location, transformer",45.556041091,-73.576925079
G983421067812,"Line down, unable to reach location, assessing damage, found bad transformer, pole down blocking road.",45.558358878,-73.623739243
G983421067812,"Incident report comment: 28710 opened to assess damage, unable to reach location, transformer issue, pole down, phase up, can't access, bad transformer, line down blocking road.",45.562873993,-73.587180217
G983421067812,"assessing damage, found bad transformer, pole down, can't access",45.563589169,-73.692988516
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED, CAN'T ACCESS FOR REPAIRS, ENTRY PROBLEM DUE TO NO BUCKET TRUCK AVAILABLE, LINE ISSUES CAUSED BY TRANSFORMER FAILURE, POWER DISRUPTION ISSUES BEING ADDRESSED.",45.570248572,-73.518154223
G983421067812,"LINE ISSUE ON PRI1. ASSESSING DAMAGE, CAN'T ACCESS, LOCATE ISSUE, FOUND BAD TRANSFORMER, SPAN POLE DOWN BLOCKING ROAD.",45.572829947,-73.532962749
G983421067812,"Assessing damage, unable to reach location, pole down, line down, bad transformer, can't access, phase up, transformer",45.573154568,-73.562140795
G983421067812,"Assessing damage, found bad transformer, unable to reach location due to pole down, line down blocking road.",45.577461878,-73.769585872
G983421067812,"#1 OF PRIMARY POLE DOWN BLOCKING ROAD, ASSESSING DAMAGE, CAN'T ACCESS, FOUND BAD TRANSFORMER",45.578456438,-73.596176488
G983421067812,"2001 - INCIDENT AUTO-GENERATED FROM ADMS, Crews are assessing damage, found a bad transformer, and a pole down blocking road, currently unable to reach location due to a tree down, will update once able to access and locate issue.",45.581547727,-73.893221108
G983421067812,"Assessing damage, unable to reach location, found bad transformer, pole down, line down, blocking road, can't access, phase up.",45.582006573,-73.668962813
G983421067812,"Assessing damage, limb down, unable to reach location, pole down, bad transformer, can't access, phase up, transformer",45.582325125,-73.687191727
G983421067812,"LINE DOWN, POLE DOWN, ASSESSING DAMAGE, CAN'T ACCESS, TREE DOWN BLOCKING ROAD, PHASE UP, BAD TRANSFORMER FOUND.",45.586135843,-73.770401777
G983421067812,"""Assessing damage, unable to reach location due to pole down, phase up, and a limb down blocking road, found bad transformer, can't access, and asset not found in GIS.""",45.592857752,-73.904038916
G983421067812,"Line down, unable to reach location, assessing damage, pole down blocking road, bad transformer.",45.60678413,-73.863647333
G983421067812,"CUT 2240 - INCIDENT AUTO-GENERATED FROM ADMS, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, CAN'T ACCESS, ENTRY PROBLEM DUE TO NO BUCKET TRUCK, TREE DOWN, LIMB DOWN, ASSET NOT FOUND IN GIS.",45.610555907,-73.615706726
G983421067812,"Line down, unable to reach location, assessing damage, found bad transformer, pole down blocking road, can't access, phase up.",45.613272097,-73.615636265
G983421067812,"need line crew, assessing damage, transformer, pole down, can't access, unable to reach location, bad transformer, line down, phase up, asset not found in GIS.",45.615848385,-73.517209859
G983421067812,"Primary down @ Oakwood Ave, assessing damage, unable to reach location, pole down, bad transformer",45.618087181,-73.591945791
G983421067812,"Transformer down on Span Pole, assessing damage, unable to access location, can't locate issue, bad transformer, pole down blocking road.",45.619208617,-73.88844738
G983421067812,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.628524874,-73.558719517
